x_percent,y_percent,employee_minutes_saved,late_probability_percent
0,10,20.076,100
5,10,18.86,100
10,10,17.693,100
15,10,16.668,100
20,10,15.413,100
25,10,14.329,100
30,10,13.42,100
35,10,11.844,100
40,10,10.979,100
45,10,9.748,100
50,10,8.658,100
55,10,7.792,100
60,10,6.293,100
65,10,5.276,100
70,10,4.33,100
75,10,3.104,100
80,10,1.92,100
85,10,1.081,100
90,10,0.547,100
95,10,0.3,100
100,10,0.079,100
0,20,16.418,100
5,20,15.099,100
10,20,13.942,100
15,20,13.159,100
20,20,11.711,100
25,20,10.647,100
30,20,9.392,100
35,20,8.408,100
40,20,7.208,100
45,20,5.914,100
50,20,4.928,100
55,20,3.711,100
60,20,2.821,100
65,20,1.676,100
70,20,0.446,100
75,20,-0.669,100
80,20,-1.831,100
85,20,-2.66,100
90,20,-3.181,100
95,20,-3.451,100
100,20,-3.593,100
0,30,12.625,100
5,30,11.361,100
10,30,10.248,100
15,30,9.041,100
20,30,7.98,100
25,30,6.862,100
30,30,5.594,100
35,30,4.465,100
40,30,3.399,100
45,30,2.384,100
50,30,1.197,100
55,30,0.177,100
60,30,-1.094,100
65,30,-2.337,100
70,30,-3.336,100
75,30,-4.442,100
80,30,-5.505,100
85,30,-6.397,100
90,30,-6.928,100
95,30,-7.266,100
100,30,-7.39,100
0,40,9.138,100
5,40,8.036,100
10,40,7.034,100
15,40,5.986,100
20,40,4.904,100
25,40,3.923,100
30,40,2.892,100
35,40,2.07,100
40,40,1.017,100
45,40,-0.128,100
50,40,-0.936,100
55,40,-2.162,100
60,40,-3.166,100
65,40,-4.159,100
70,40,-5.182,100
75,40,-6.17,100
80,40,-7.211,100
85,40,-8.034,100
90,40,-8.578,100
95,40,-8.882,100
100,40,-8.967,100
