compliance_percent,incorrect_percent,mean_employee_seconds,p10_employee_seconds,p90_employee_seconds,late_probability_percent,mean_employee_minutes
0,20,2610.349,2603.53,2616.937,100,43.51
5,20,2602.757,2582.484,2615.637,100,43.38
10,20,2585.11,2555.416,2613.564,100,43.09
15,20,2550.862,2500.344,2592.077,100,42.51
20,20,2499.442,2433.616,2563.321,100,41.66
25,20,2439.027,2353.066,2516.247,100,40.65
30,20,2356.419,2257.717,2449.811,100,39.27
35,20,2275.468,2159.912,2384.72,100,37.92
40,20,2188.265,2054.469,2311.031,100,36.47
45,20,2110.91,1984.745,2232.135,100,35.18
50,20,2025.525,1885.025,2158.464,100,33.76
55,20,1948.792,1814.456,2079.632,100,32.48
60,20,1878.224,1735.754,2011.523,100,31.3
65,20,1784.388,1633.028,1934.396,100,29.74
70,20,1704.592,1549.167,1857.327,100,28.41
75,20,1641.404,1488.267,1784.557,100,27.36
80,20,1556.056,1406.823,1708.506,100,25.93
85,20,1479.418,1316.383,1613.772,100,24.66
90,20,1390.237,1239.998,1536.908,100,23.17
95,20,1308.241,1161.491,1460.067,100,21.8
100,20,1231.878,1083.468,1361.887,100,20.53
