x_percent,y_percent,employee_minutes_saved,late_probability_percent
0,10,-8.96,100
5,10,-8.839,100
10,10,-8.472,100
15,10,-7.867,100
20,10,-6.833,100
25,10,-5.657,100
30,10,-4.147,100
35,10,-2.488,100
40,10,-1.043,100
45,10,0.427,100
50,10,1.861,100
55,10,3.557,100
60,10,4.993,100
65,10,6.582,100
70,10,7.813,100
75,10,9.548,100
80,10,11.094,100
85,10,12.57,100
90,10,14.22,100
95,10,15.653,100
100,10,17.164,100
0,20,-8.968,100
5,20,-8.842,100
10,20,-8.548,100
15,20,-7.977,100
20,20,-7.12,100
25,20,-6.113,100
30,20,-4.736,100
35,20,-3.387,100
40,20,-1.934,100
45,20,-0.645,100
50,20,0.779,100
55,20,2.057,100
60,20,3.234,100
65,20,4.798,100
70,20,6.127,100
75,20,7.181,100
80,20,8.603,100
85,20,9.88,100
90,20,11.367,100
95,20,12.733,100
100,20,14.006,100
0,30,-8.963,100
5,30,-8.848,100
10,30,-8.619,100
15,30,-8.152,100
20,30,-7.44,100
25,30,-6.35,100
30,30,-5.216,100
35,30,-4.17,100
40,30,-2.94,100
45,30,-1.877,100
50,30,-0.622,100
55,30,0.469,100
60,30,1.482,100
65,30,2.851,100
70,30,3.886,100
75,30,5.276,100
80,30,6.311,100
85,30,7.393,100
90,30,8.399,100
95,30,9.68,100
100,30,10.887,100
0,40,-8.969,100
5,40,-8.867,100
10,40,-8.664,100
15,40,-8.246,100
20,40,-7.576,100
25,40,-6.816,100
30,40,-5.818,100
35,40,-4.977,100
40,40,-3.941,100
45,40,-3.024,100
50,40,-1.969,100
55,40,-1.25,100
60,40,-0.203,100
65,40,0.868,100
70,40,1.721,100
75,40,2.806,100
80,40,3.805,100
85,40,4.857,100
90,40,5.482,100
95,40,6.712,100
100,40,7.595,100
